County,2035,2040,2045,avg_population
ALACHUA,329300,338400,345600,337766.6666666667
HILLSBOROUGH,1795300,1861000,1914900,1857066.6666666667
ORANGE,1755300,1825600,1882400,1821100.0
OSCEOLA,582300,623800,660500,622200.0
POLK,972600,1022000,1064300,1019633.3333333334
